date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Transaction_Value
2012-05-18,41.820564999849665,44.75446989627076,37.79266346796198,38.02140808105469,573576400,0.0,0.0,23673543792.68825
2012-05-21,36.33068564559697,36.459977408452524,32.81994706729023,33.84432601928711,168192700,0.0,0.0,5826188776.685629
2012-05-22,32.43207638438288,33.406728927025874,30.771188036558144,30.830860137939453,101786600,0.0,0.0,3266225981.40277
2012-05-23,31.198843292187348,32.322677075862885,31.188897625454047,31.82540512084961,73600000,0.0,0.0,2337225949.008463
2012-05-24,32.770227114813466,33.028806897782594,31.596664835578185,32.849788665771484,50237200,0.0,0.0,1623301374.2815962
2012-05-25,32.720495270403944,32.77022170578045,30.940260809184828,31.73589515686035,37149800,0.0,0.0,1183415841.6672285
2012-05-29,31.308241047343714,31.517096249622256,28.493681928418795,28.682645797729492,78063400,0.0,0.0,2342322690.611845
2012-05-30,28.543409536464004,29.388770299782777,27.70799254243488,28.036191940307617,57267900,0.0,0.0,1634905852.3859184
2012-05-31,28.394227230597497,29.50811721930095,26.683612426921325,29.438499450683594,111639200,0.0,0.0,3136599872.160269
2012-06-01,28.732372537261455,28.99095417775408,27.240556693840745,27.568756103515625,41855500,0.0,0.0,1176799001.6430185
2012-06-04,27.05159536252582,27.499138988025596,26.295741756258618,26.753231048583984,35230300,0.0,0.0,947604893.5426781
2012-06-05,26.55432267276678,27.608538667047362,25.609505216675757,25.728851318359375,42473400,0.0,0.0,1130175632.5454628
2012-06-06,25.927756980999643,27.021755558046664,25.380758640947025,26.663719177246094,61489200,0.0,0.0,1611094338.0423813
2012-06-07,26.85268634945136,27.200777107443763,26.00732362202467,26.16645050048828,26159500,0.0,0.0,695948655.5162648
2012-06-08,26.405138641309332,27.60853769454035,26.295740106973323,26.952138900756836,38034000,0.0,0.0,1025097650.9513855
2012-06-11,27.031705301576196,27.916848824366294,26.693560201353492,26.862632751464844,28219600,0.0,0.0,770541949.2711011
2012-06-12,27.33006315341954,27.61848176578997,26.812899922443314,27.250499725341797,15816800,0.0,0.0,430465138.94322413
2012-06-13,27.509083510975056,27.946683348395048,26.952139470494455,27.121212005615234,17102800,0.0,0.0,469461793.4534517
2012-06-14,27.49913745725629,28.16548192194235,27.230610158739097,28.13564682006836,16855000,0.0,0.0,466850566.0099429
2012-06-15,28.354446162562123,29.935771078840006,28.195319293988167,29.846261978149414,43563800,0.0,0.0,1266205597.3919058
2012-06-18,29.79653148227174,31.904967080114346,29.249533148390167,31.23862075805664,42978900,0.0,0.0,1314176574.9354365
2012-06-19,31.36791498241364,32.00442246055406,30.532497968883384,31.73589515686035,30849000,0.0,0.0,964600729.1638578
2012-06-20,31.745841252528276,31.755786919126425,30.98004199694827,31.427587509155273,15553600,0.0,0.0,487883994.3145297
2012-06-21,31.49720439820282,32.32267573336177,31.338077530963158,31.666276931762695,21875300,0.0,0.0,696299037.9415435
2012-06-22,32.23316346159525,33.26748989381454,31.885074659350007,32.86967086791992,74834000,0.0,0.0,2437813507.885758
2012-06-25,32.68070887228962,32.839835723651845,31.377855168466603,31.885074615478516,24352900,0.0,0.0,781943502.2633356
2012-06-26,32.511632675409544,33.25754046161039,32.32267073536995,32.919395446777344,24858700,0.0,0.0,815119398.0411876
2012-06-27,32.28289427074647,32.72049601737076,31.72595021465928,32.05414962768555,28568000,0.0,0.0,920553037.9783171
2012-06-28,31.785620979990952,32.01436561342391,30.731405015391424,31.18889617919922,17713300,0.0,0.0,555717329.4396974
2012-06-29,31.745840695006716,31.815458463029188,30.592169947069408,30.930315017700195,19526900,0.0,0.0,609313759.6005771
2012-07-02,31.079494300951467,31.55687487814805,30.38331286983344,30.602113723754883,14122000,0.0,0.0,437359665.6884973
2012-07-03,30.741349371340267,31.26845827964341,30.631948943952,31.029767990112305,8763600,0.0,0.0,271235204.37235034
2012-07-05,31.14911476852579,31.457422847609738,30.850752356114487,31.298295974731445,10032100,0.0,0.0,312540922.2306409
2012-07-06,31.268460394889434,31.725949673203463,31.08944219139545,31.55687713623047,10945600,0.0,0.0,343776076.5965769
2012-07-09,31.92486045016142,32.700607339498575,31.81546190156341,31.994478225708008,17785200,0.0,0.0,573715597.3330678
2012-07-10,32.25305910894315,32.30278554536438,30.989987895647502,31.298295974731445,14269500,0.0,0.0,451578115.30825955
2012-07-11,31.308239154287314,31.387802584405968,30.383313093569363,30.801021575927734,13030300,0.0,0.0,402448084.309361
2012-07-12,30.532496761299562,31.228676313745726,30.433041997538155,30.641895294189453,11300700,0.0,0.0,348410290.06016284
2012-07-13,30.870642871818028,30.90047797410377,30.39326036888518,30.552387237548828,8108300,0.0,0.0,248494009.30322865
2012-07-16,30.333589030578075,30.333589030578075,28.056082582995977,28.09586524963379,24672100,0.0,0.0,720297908.5086302
2012-07-17,28.324608557278726,28.434008988435654,27.001865304972252,27.936737060546875,30438600,0.0,0.0,843695201.6336629
2012-07-18,28.15553566248303,29.130190070239866,27.996408799368,28.951171875,16841800,0.0,0.0,481057376.4210809
2012-07-19,29.249532977969622,29.339042071638435,28.473788131820488,28.84177017211914,13685100,0.0,0.0,395587181.30867785
2012-07-20,28.84176911757206,29.309204003130255,28.56329618112408,28.603078842163086,11869100,0.0,0.0,343447245.9684666
2012-07-23,27.966574039690084,28.84177179751189,27.85717360860916,28.593135833740234,12390700,0.0,0.0,351269811.42181206
2012-07-24,28.66275519370925,29.289318919537646,27.94668426113305,28.294775009155273,11539800,0.0,0.0,330246014.75215185
2012-07-25,28.235100821799822,29.32909949536586,27.92679274276623,29.17991828918457,17230200,0.0,0.0,493265237.2207318
2012-07-26,27.598593708676333,28.07597433377655,26.584158457631883,26.70350456237793,64597400,0.0,0.0,1765451230.9898634
2012-07-27,23.06347181649562,24.40610635867937,22.158437088144442,23.58063316345215,123102300,0.0,0.0,2866101198.3769693
2012-07-30,23.86905388173466,23.908836548736364,22.904346970246994,23.023691177368164,29285900,0.0,0.0,685483105.6092974
2012-07-31,23.24249162034155,23.24249162034155,21.49209414055579,21.5915470123291,56179400,0.0,0.0,1256581093.647878
2012-08-01,21.382693167242966,21.462256600824798,20.72629436595737,20.766075134277344,44604400,0.0,0.0,940897501.3713692
2012-08-02,20.65667880111141,20.726296575800447,19.711861266766302,19.930662155151367,56374500,0.0,0.0,1139840464.6478896
2012-08-03,20.248915100465283,22.039093422641272,19.791423904478613,20.974931716918945,80647000,0.0,0.0,1686752865.4401188
